  0  0     Fallout3.esm
  1  1     Anchorage.esm
  2  2     ThePitt.esm
  3  3     StreetLights.esm
  4  4     BrokenSteel.esm
  5  5     PointLookout.esm
  6  6     Zeta.esm
  7  7     CALIBR.esm
  8  8     CRAFT.esm
  9  9     Unofficial Fallout 3 Patch.esm
 10  a     ImaginatorFO3.esp
 11  b     CINEMATECH.esm
 12  c     iHUD.esm
 13  d     RH_IRONSIGHTS.esm
 14  e     FO3 Wanderers Edition - Main File.esm
 15  f     TheInstitute.esm
 16 10     Xepha's Dynamic Weather.esm
 17 11     FO3 Wanderers Edition - Alternate Travel.esp
 18 12     IFE - Main File.esm
 19 13     FCOMaster.esm
 20 14     FCO - UFP CPatch.esp
 21 15     IFE - Fallout 3 Patch.esp
 22 16     CASM.esp
 23 17     Scrap Metal Crafting - Main File.esp
 24 18     WWM - Main File.esp
 25 19     KillableChildren.esp
 26 1a     KillableChildren - UFP CPatch.esp
 27 1b     FO3 Wanderers Edition - Main File.esp
 28 1c     FO3 Wanderers Edition - DLC Anchorage.esp
 29 1d     FO3 Wanderers Edition - DLC The Pitt.esp
 30 1e     FO3 Wanderers Edition - DLC Broken Steel.esp
 31 1f     FO3 Wanderers Edition - DLC Point Lookout.esp
 32 20     FO3 Wanderers Edition - DLC Mothership Zeta.esp
 33 21     FO3 Wanderers Edition - Realistic Bullets.esp
           FO3 Wanderers Edition - Optional Restore Tracers.esp
           FO3 Wanderers Edition - Optional Restore Tracers (automatics only).esp
 34 22     FO3 Wanderers Edition - Optional VATS Halftime.esp
 35 23     WeaponJamming.esp
 36 24     UUF3P - FWE Patch.esp
 37 25     WWM - IFE CPatch.esp
 38 26     Player Animations - Food & Drink (FWE).esp
 39 27     RH_FWE_Bridge.esp
 40 28     IFE - Ironsight Patch.esp
 41 29     Scrap Metal Crafting - FWE CPatch.esp
 42 2a     TheInstitute - FWE Patch.esp
 43 2b     UPP - IFE Edition.esp
 44 2c     UPP - FWE CPatch.esp
 45 2d     NEOFACES.esp
 46 2e     NEOFACES - IFE CPatch.esp
 47 2f     NEOFACES - KChild CPatch.esp
 48 30     StreetLights - UFP Patch.esp
 49 31     StreetLights - IFE Patch.esp
 50 32     IFE - Equipment.esp
 51 33     IFE - Miscellaneous.esp
 52 34     IFE - Stealth Tactics.esp
 53 35     IFE - Power of The Atom.esp
 54 36     That Middle Aged Guy - Main File.esp
 55 37     That Middle Aged Guy - IFE CPatch.esp
 56 38     IFE - The Institute CPatch.esp
 57 39     Realistic Interior Lighting.esp
 58 3a     Interior Fog Remover.esp
 59 3b     DarNifiedUIF3.esp
 60 3c     IFE - User Interface.esp
 61 3d     IFE - PiPBoy Light.esp
 62 3e     DYNAVISION - Dynamic Lens Effect.esp
 63 3f     Directors Chair - Fallout 3.esp
 64 40     IFE - Directors Cut.esp
 65 41     IFE - Sound Effects.esp
 66 42     IFE - FWE Sound Patch.esp
 67 43     Xepha's Dynamic Weather - Main.esp
 68 44     Xepha's Dynamic Weather - Bonus.esp
 69 45     Megaton Lighting - XDW Edition.esp
 70 46     Xepha's Dynamic Weather - UFP Patch.esp
 71 47     FO3 Merged Patch.esp
 72 48     Flora Overhaul.esp
 73 49     MCRockTextures.esp
 74 4a     EBT - Enhanced Blood Main.esp
 75 4b     EBT - Smaller Spatters Realistic.esp
 76 4c     EBT - Smaller Wounds.esp
